cpu,ram,hdd,price_month,,price_day,dedicated_server,virtual_server,office_server,machine_study,graphics_work,rendering,games,storage,other,tariff_name
1 x Core 2 Duo E8400 3GHz,1 x 2048MB DDR2,2 x 250Gb SATA,2500,,"83,33333333",1,,1,,,,,1,1,HyperleeOne
1 x Xeon Е4600,4 x 1024MB DDR2,3 x 250GB SATA,3000,Заказать,100,1,,1,,,,,1,1,HyperleeOne
1 x Core 2 Duo 2.13GHz,4 x 2048MB DDR2 ECC,2 x 500GB SATA,3000,Заказать,100,1,,1,,,,,1,1,HyperleeOne
1 x Xeon X3330 2.66GHz,1 x 2048MB DDR2,2 x 500GB SATA,3000,Заказать,100,1,,1,,,,,1,1,HyperleeOne
1 x Xeon E5430 2.66 GHz,8 x 2048MB DDR2,6 x 73GB SAS,3000,Заказать,100,1,,1,,,,,1,1,HyperleeOne
1 x Core2 Duo E8400 3.0 Ghz,4 x 2048MB DDR2,2 x 250GB SATA,3000,Заказать,100,1,,1,,,,,1,1,HyperleeOne
1 x Xeon X3330 2.66GHz,2 x 2048MB DDR2,2 x 250GB SATA,3000,Заказать,100,1,,1,,,,,1,1,HyperleeOne
1 x Core2DuoE8400 3GHz,2 x 2048MB DDR2,2 x 500GB SATA,3000,Заказать,100,1,,1,,,,,1,1,HyperleeOne
1 x Xeon E5504 2.00GHz,2 x 2048MB DDR3 ECC,2 x 146GB SAS,3000,Заказать,100,1,,1,,,,,1,1,HyperleeOne
2 x XeonE5405,2 x 2048MB DDR2,1 x 1TB SATA,3200,Заказать,"106,6666667",1,,1,,,,,1,1,HyperleeOne
1 x Core i3 2.9Ghz,1 x 2048MB DDR3 ECC,2 x 500GB SATA,3200,Заказать,"106,6666667",1,,1,,,,,1,1,HyperleeOne
1 x Core i3-560 3.33GHZ,1 x 2048MB DDR3 ECC,1 x 500GB SATA,3200,Заказать,"106,6666667",1,,1,,,,,1,1,HyperleeOne
1 x XeonX3450 2.66GHz,1 x 2048MB DDR2,2 x 250GB SATA,3300,Заказать,110,1,,1,,,,,1,1,HyperleeOne
1 x Xeon E5507 2.26GHz,1 x 4096MB DDR3 ECC,2 x 500GB SATA,3300,Заказать,110,1,,1,,,,,1,1,HyperleeOne
1 x Xeon X3430 2.4GHz,4 x 2048MB DDR3 ECC,2 x 500GB SATA,3300,Заказать,110,1,,1,,,,,1,1,HyperleeOne
1 x Core i3-2100 3.1GHZ,2 x 2048MB DDR3,1 x 500GB SATA,3300,Заказать,110,1,,1,,,,,1,1,HyperleeOne
1 x Xeon X3450 2.66Ghz,1 x 4096MB DDR3 ECC,2 x 500 SATA,3300,Заказать,110,1,,1,,,,,1,1,HyperleeOne
1 x Xeon X3450 2.66Ghz,1 x 4096MB DDR3 ECC,1 x 500 SATA,3300,,110,1,,1,,,,,1,1,HyperleeOne
1 x 500GB SATA,3300 З,Заказать,,,0,1,,1,,,,,1,1,HyperleeOne
1 x Xeon X3450 2.66Ghz,1 x 2048MB DDR3 ECC,2 x 500 SATA,3300,Заказать,110,1,,1,,,,,1,1,HyperleeOne
1 x Xeon X3450 2.66Ghz,2 x 2048MB DDR3 ECC,2 x 500GB SATA,3300,Заказать,110,1,,1,,,,,1,1,HyperleeOne
1 x Xeon X3450 2.66GHz,4 x 2048MB DDR3 ECC,2 x 500GB SATA,3500,Заказать,"116,6666667",1,,1,,,,,1,1,HyperleeOne
1 x XeonX3450 2.66Ghz,3 x 8192MB DDR3 ECC,2 x 1TB SATA,3900,Заказать,130,1,,1,,,,,1,1,HyperleeOne
1 x XeonX3450 2.66GHz,3 x 8192MB DDR3 ECC,2 x 500GB SATA,3900,Заказать,130,1,,1,,,,,1,1,HyperleeOne
